volume,page,table_id,lot_no,qty_or_unit,item,buyer,price
第1733年卷,4,1,47,2,500对茶杯及茶碟，蓝白色,N. Borgström,7½
第1733年卷,4,1,48,2,500件，同上,Hugh Ross,7½
第1733年卷,4,1,94,2,790件，多少不等，同上,Dito（同上）,7½
第1733年卷,4,1,50,3,500对，同上，另一品种,H. Campbell,7½
第1733年卷,4,1,51,3,500件，同上,Dito（同上）,7½
第1733年卷,4,1,52,3,500件，同上,Charl. Pike,7½
第1733年卷,4,1,53,3,500件，同上,Dito（同上）,7½
第1733年卷,4,1,54,3,500件，同上,Jacob Schütz,7½
第1733年卷,4,1,55,3,500件，同上,Henr. König,7½
第1733年卷,4,1,56,3,500件，同上,Charl. Pike,7½
第1733年卷,4,1,57,3,500件，同上,Colin Campbell,7½
第1733年卷,4,1,58,3,500件，同上,Philip Otterdahl,7½
第1733年卷,4,1,59,3,500件，同上,Christian Schlichtkrieg,7½
第1733年卷,4,1,60,3,500件，同上,Johannes Grill,7½
第1733年卷,4,1,61,3,500件，同上,Henrich König,7½
第1733年卷,4,1,62,3,500件，同上,Charl. Pike,7½
第1733年卷,4,1,63,3,643件，多少不等，同上,Dito（同上）,7½
第1733年卷,4,1,64,4,500件，同上，另一品种,J. Sahlgren,7½
第1733年卷,4,1,65,4,500件，同上,Petter Arfwedson,7½
第1733年卷,4,1,66,4,500件，同上,Hugh Ross,7½
第1733年卷,4,1,67,4,500件，同上,Hans Liedgren,7½
第1733年卷,4,1,68,4,500件，同上,Petter Arfwedson,7½
第1733年卷,4,1,69,4,500件，同上,Johan Busch,7½
第1733年卷,4,2,70,4,780对茶杯及茶碟，蓝白色，多少不等,Charles Pike,7½
第1733年卷,4,2,71,5,500件，同上，另一品种,Dito（同上）,7½
第1733年卷,4,2,72,5,500件，同上,Dito（同上）,7½
第1733年卷,4,2,73,5,500件，同上,Dito（同上）,7½
第1733年卷,4,2,74,5,500件，同上,Dito（同上）,7½
第1733年卷,4,2,75,5,500件，同上,Dito（同上）,7½
第1733年卷,4,2,76,5,500件，同上,Dito（同上）,7½
第1733年卷,4,2,77,5,606件，多少不等，同上,Dito（同上）,7½
第1733年卷,4,2,78,47,500件，同上，另一品种,H. Ross,7½
第1733年卷,4,2,79,47,500件，同上,Charles Pike,7½
第1733年卷,4,2,80,47,500件，同上,Dito（同上）,7½
第1733年卷,4,2,81,47,500件，同上,Colin Campbell,7½
第1733年卷,4,2,82,47,500件，同上,Hinrich König,7½
第1733年卷,4,2,83,47,500件，同上,Hugh Campbell,7½
